report_id,topic,consumer,total_mails,average_execution_time_(s),max_execution_time_(s),grand_total_mails,total_errors
4,high-priority-mails,0,1,0.21,0.21,200010,0
4,high-priority-mails,5,3,0.25,0.27,200010,0
4,low-priority-mails,0,200000,48.26,91.33,200010,0
4,high-priority-mails,1,3,0.56,1.15,200010,0
4,high-priority-mails,2,1,0.26,0.26,200010,0
4,high-priority-mails,3,2,0.27,0.27,200010,0
5,high-priority-mails,0,1,0.21,0.21,200010,0
5,high-priority-mails,5,3,0.25,0.27,200010,0
5,low-priority-mails,0,200000,48.26,91.33,200010,0
5,high-priority-mails,1,3,0.56,1.15,200010,0
5,high-priority-mails,2,1,0.26,0.26,200010,0
5,high-priority-mails,3,2,0.27,0.27,200010,0
